id,titre,description
47,Développeur Back-end Symfony,""Missions:Analyser les besoins clients et anticiper les risques Participer à  l'élaboration des story-boards et à  la planification Développer de nouvelles fonctionnalités pour répondre aux exigences de nos clients et maintenir les fonctionnalités existantes pour améliorer l'expérience client Ecrire du code efficace et bien documenté Aider à  la programmation et au débogage des paires Aider avec les configurations de serveur  les logiciels tiers  les analyses de sécurité  les tests de charge  etc.Profil:5 ans d'expérience en tant que développeur(se) back-end sous Symfony Maà®trise des langages PHP  MySQL Maà®trise des technologies Elasticsearch  RabbitMQ  et GraphQL Connaissances de Git et Code versionning avec Gitlab Aisance avec les environnements linux et avec l'utilisation de la ligne de commande""
48,Développeur(se) backend PHP Symfony,""Au sein de l'équipe Développement  Vous àªtes sous la responsabilité du Directeur Produit et vous travaillez dans nos locaux de Toulouse avec la possibilité de trois jours de télétravail par semaine.Vous prenez en charge les développements backend sur notre suite d'applications (PHP 8  Symfony 5) intégrant des outils de collecte et de gestion de leads  de génération de devis  de gestion administrative et de calcul de subventions  de planification de travaux  de facturation  et de reporting temps réel.Afin de garantir la qualité de vos livraisons  vous produisez les tests automatisés associés à  vos développements au sein de la plateforme qui dispose d'ores et déjà  d'une bonne couverture. Vous àªtes également amené(e) à  améliorer et à  concevoir des micro-services annexes au projet.Enfin  vous participez activement aux choix et à  la conception technique et àªtes proactif sur la veille technologique.Profil:Disposant d'une solide base PHP / Symfony  vous développerez vos compétences en Symfony 5  API GraphQL  Google Cloud et Docker  auprà¨s d'une équipe trà¨s expérimentée.""
49,Développeur React.js (H/F),""Participer à  la création  à  la refonte et à  la maintenance des sites pour nos clients Mettre en valeur ta capacité d'adaptation  ton autonomie et ton affinité avec les méthodologies agile Comprendre et participer à  la conception des applications et des produits de l'agence Evaluer les spécifications techniques Participer à  la conception d'architecture web Proposer des solutions techniques Tester  mettre en Å“uvre et faire évoluer des solutionsParticiper aux revues de codeTU ES LA LICORNE PARFAITE POUR CE JOB SI:Tu as au moins 3 ans d'expérience sur React JS Tu as une sensibilité client Tu sais architecturer ton code sans perdre en rapidité Tu développes afin de trouver un juste équilibre entre code parfait et respect des délais Tu aimes le travail d'équipe et partager tes connaissances Tu maà®trises JavaScript""
50,Développeur(se) Frontend React.js,""Au sein de l'équipe R&D €“ Modern UI/UX  vous participez à  la conception et au développement des interfaces utilisateurs du produit  basées sur la librairie React. Vous àªtes en charge  notamment  de créer et maintenir des interfaces ergonomiques et faciles d'utilisation.Missions :Participer à  la conception et au développement de nouvelles fonctionnalités.Aider le support dans la résolution des problà¨mes clients.Corriger les bugs.Maà®triser les environnements d'intégration continue.Refactoriser le code existant.Travailler sur la gestion de la performance Participer aux travaux d'innovation de la R&D (créations de PoCs et tests de nouvelles technologies) Créer et assurer l'ergonomie visuelle et fonctionnelle du produit Maà®triser du responsive design et de l'UX / UI Participer à  la mise en place des best practices et des guidelines pour le centre de compétences Frontend Rédiger la documentation et la corriger si nécessaire Réaliser les tests (unitaires  intégration  end-to-end) Apporter une assistance à  la QA lors des phases de validation Effectuer de la veille technologique Faire évoluer le socle technique et la toolchain.La stack actuelle:Frontend : React.js  Typescript Backend : Java  PHP Devops : Terraform  AWS  Docker""
51,Développeur Front End - ReactJS,""Nous recherchons un développeur ReactJS pour une mission de développement Front-End de longue durée vers Guyancourt.Vous maitrisez le javascript et àªtes passionné par le développement ReactJS.Anglais lu  écrit et parlé obligatoire.""
52,Stage €“ Développeur React,""En tant qu'ambassadeur de Smile  vos tà¢ches seront d'assurer :la conception et la mise en Å“uvre des algorithmes afin de maintenir des plateformes la qualité du code  le respect des délais  et les processus de mise en production le développement de nouvelles fonctionnalités l'analyse et amélioration de l'efficacité  l'évolutivité  la stabilité de la plateforme et des outils la contribution aux échanges d'idées et à  la veille technologique.TECHNOLOGIES:React / Node.js / microservices  / Javascript / HTML / CSS""
53,Développeur Node.js React.js/ redux,""Vous intégrez l'équipe technique d'ACTIVECOM et en serez le 10à¨me membre. Vous travaillerez en étroite collaboration avec nos ingénieurs back-end et l'équipe de management. Vous participerez activement à  l'évolution de nos solutions logicielles.Vos missions :Interfacer les nouvelles fonctionnalités à  partir de maquettes et/ou prototypes Faire évoluer certaines interfaces en React JS Optimiser les usages sur des écrans de taille intermédiaires (laptop) Maintenir les packages JS/CSS de l'application Rédiger des tests fonctionnels (Nightwatch.js) Participer à  l €˜élaboration des prototypes UX/UI""
54,Développeur ReactJs,""on recherche de nouveaux talents et on recrute plusieurs développeurs ReactJS.Développeur ReactJS : résumé de la fiche de poste.Poste : Développeur ReactJS.Equipe : Stormshield React Gui (SRG)""
55,Consultant(e) Junior Data et IA,""Nous recherchons des consultant.e.s Junior Data & IA (écoles d'ingénieur) ayant 1 à  3 ans d'expérience en cabinet et/ou en entreprise.Une premià¨re expérience (màªme en stage) dans la DATA est requise.Faites parler les données pour qu'elles deviennent créatrices de valeur.Concevez et déployez des solutions data sur-mesure.Crunchez  analysez  codez  pythonez""
56,ingénieur Front-end Vue.js - IA et Machine Learning,""Vous ferez partie du Product Business Group qui travaille sur l'amélioration des capacités de la plate-forme conversationnelle IA low code  pour aider les entreprises à  fournir des interactions client simples et efficaces à  tout moment.Vous travaillerez avec une équipe de produits composée de 1 chef de produit  1 concepteur de produit  1 responsable de l'ingénierie et 2 à  4 développeurs pour développer et améliorer la plate-forme.Nous recherchons une personne passionnée par le développement de fonctionnalités exceptionnelles qui permettent à  nos clients  désireuse d'étendre son expertise technique et qui travaille bien dans une petite équipe interfonctionnelle axée sur les produits.Concevoir  mettre en Å“uvre et tester de nouvelles fonctionnalités.Partagez les meilleures pratiques pour améliorer le travail de vos collà¨gues.Débattre avec les chefs de produits  les designers et les ingénieurs sur la meilleure faà§on de donner de la valeur aux clients""
57,Stage IA - Intelligence artificielle,""Nous recherchons un(e) stagiaire en intelligence artificielle.- Durée du stage : 3/4 mois.- Début de contrat : Avril/Mai (peut s'adapter en fonction de la personne)- Stage 3 jours remote  2 jours aux bureaux (Lyon 6e).Sous l'autorité du CTO  vous vous verrez confier les missions suivantes :- Création de datasets ;- POC Automatisation de détection de bulles ;- OCR de texte Asiatique ;- POC de création d'un personnage virtuel (TTS / Text avec GPT ou LLaM / Image)- Liste non-exhaustive pouvant s'adapter au profil de la personne.""
58,Développeur PHP Symfony junior,""Développement de modules de la plateforme (recherche multicrità¨re  paiements  reconnaissance d'images  machine learning / IA  API réseaux sociaux etc...).Développement d'un moteur de création de site (Site Builder) pour le marché de l'art.Développement/intégration de nouvelles templates.Reponsabilités selon votre niveau et vos compétences""
59,Apprenti Ingénieur en IA/ML pour la surveillance des satellites F/H,""Contribuer à  l'amélioration des moyens de détection permettant d'accroà®tre leur opérabilité et leur efficacité compte tenu des retours d'expérience au sol et en vol.Poursuivre le deploiement des outils de détection dans les centres de contrà´le.Implémenter de nouvelles versions d'outils prenant en compte notamment les sorties d'actions R&T  stages  thà¨ses  et études métier.Participer à  la mise en Å“uvre d'une expérience IA innovante de détection d'anomalie à  bord d'un CubeSat.Documenter le travail réalisé et communiquer auprà¨s des équipes concernées.Vous serez accompagné(e) tout le long de votre contrat par des ingénieur(e)s des services des opérations satellites. Vous serez également amené à  travailler et échanger avec des personnes des services « calcul  Ingénierie logicielle et valorisation des données »  « commande/contrà´le »  « logiciel de vol » ainsi que des stagiaires de NanoLab Academy.Profil:Vous avez des compétences en informatique  développement  systà¨mes embarqués et temps réel.Vous àªtes intéressé(e) par le domaine du spatial.Des connaissances en IA seraient un plus.Dynamisme  rigueur et goà»t pour le travail en équipe seront des atouts trà¨s utiles dans votre activité.""
60,ingénieur Front-end - IA et Machine Learning - Fullremote,""L'équipe est à  la recherche d'un ingénieur front-end pour les aider à  développer les fonctionnalités des produits en place. Vous travaillerez en synergie avec le lead front et l'équipe de produits afin d'offrir la meilleure expérience de création de bots aux clients.Les missions :Concevoir  implémenter et tester de nouvelles fonctionnalités.Partagez les meilleures pratiques pour améliorer le travail de vos collà¨gues.Débattre avec les chefs de produits  les designers et les ingénieurs sur la meilleure faà§on de donner de la valeur aux clients.La stack actuelle:Frontend: Vue.Js Backend: Python PostegreSQL AWS""
61,Développeur Intelligence Artificielle,""Intégré dans l'équipe interne vous contribuez à  la partie R&D de celui-ci en participant aux expérimentations techniques et au développements des briques logicielles deep learning qui y sont associées. Utiliser des technologies poussées pour traduire la masse de donnée (Big Data) en prédictions et recommandations utiles à  l'entreprise Créer des applications prédictives fondées sur l'intelligence artificielle (IA) Rendre les données exploitables pour en extraire du sens.Analyser le besoin (ou le problà¨me) auquel il doit trouver une solution  puis sélectionner les sources de données adéquates Qualifier les données grà¢ce à  différents outils d'analyse et de visualisation dans le but d'identifier les informations nécessaires au projet et de les placer dans une base de données Developper un programme d'IA en fonction des données disponibles  pour l'adapter au projet Manipuler des algorithmes  des outils et des méthodes d'IA tels que le machine learning et le deep learning Rendre les données exploitables (via par ex la conception et l'entraà®nement des réseaux de neurones) Etablir une interaction entre le programme d'IA et les fonctionnalités de l'application concernée Réaliser les tests et  si besoin est  modifier les paramà¨tres du systà¨me pour l'ajuster et l'adapter aux objectifs Suivre régulià¨rement et mettre à  jour en fonction de l'évolution de la technologie""
62,Développeur Front End Confirmé ( HTML/CSS/Javascript),""Développer l'interface des sites de nos 3 enseignes . Vous intervenez sur tous les éléments apparaissant à  l'écran. Il y a donc une partie design/ergonomie et une partie développement dans la mission.Pour cela  vous analysez en amont le parcours web des consommateurs  recueillez les besoins et ensuite vous faites des propositions.Puis vous développez de nouvelles interfaces web sur le front permettant l'amélioration continue du parcours client.Vous participez à  différents projets   TMA et MEV  ainsi qu'au développement de pages hors cadre CMS.Qualifications:De formation supérieure  vous maitrisez les normes émises par le W3C  ainsi que le HTML5 et CCS3 et avez au minimum 4 ans d'expérience dans un poste similaire.Vous maitrisez également JAVASCRIPT et FRAMEWORKS et les suites PAO telles que ADOBE. La connaissance d'hybris est un plus.Savoir faire attendus :Analyser les besoins du client Traduire un concept ou un script en représentation visuelle Connaissances CMS Intégration / HTML  CSS  JS / Webmastering avancé Manipulation d'interfaces Web et CMS""
63,Développeurs Android,""Responsable Techniques des spécifications fonctionnelles UI. Interaction avec le marketing  les équipes UI / UX design et l'équipe back-end.Etre impliqué entià¨rement dans le cycle de vie des applications (concept  design  construction  deploiement  test  lancement et sortie dans les app stores et assistance).Développer  tester et fournir l'assistance pour les nouvelles applications ou celles déjà  existantes sous Android.Recueillir des exigences autour de la fonctionnalité et traduire ces exigences vers des solutions fonctionnelles élégantes.Exigences:Fortes compétences en OO design et programmation Java.Bonne maitrise avec Android SDK et ADT.Compréhension du systà¨me Dalvik et du systà¨me du cycle de vie d'Android.Bonne connaissance d'Eclipse""
64,Développeur mobile Android,""Vous intervenez sur des missions d'expertise technique afin de réaliser des applications mobiles autour des technologies Android et hybrides et des composants logiciels robustes et sécurisées auprà¨s de nos clients ou au sein de notre centre de service  à  Nantes et sa métropole.Votre environnement technique Stack native : Java Android  Kotlin Stack hybride : Ionic  Cordova  JavaScript  HTML5  Flutter""
65,Développeur Mobile iOS / Android / Flutter,""La compréhension des besoins métier et l'analyse fonctionnelle.La conception  le développement et l'intégration des applications.Le test de l'application et le.traitement des dysfonctionnements éventuels.Le respect des méthodologies et des processus de développement.La mise en place des bonnes pratiques d'utilisation et de développement.La formation de l'utilisateur pour la prise en main de l'application.Stacks Techniques :Android : Java / Kotlin iOS : Swift / Objective-C / MacOSX / XCode Dart : Flutter""
66,Développeur Fullstack Java/React JS,""Au sein de la Direction Opération et Systà¨me d'Information dans une équipe agile d'un train SAFe en charge des solutions à  destination de nos clients et de nos partenaires  nous recherchons notre futur Développeur Fullstack H/F.Votre terrain de jeu :* Participation à  la refonte du serveur de prise de paris en architecture microservices sous AWS. Ce projet a de forts enjeux business  de performances (plus de 2000 TPS) et de stabilité.* Participation technique à  la conception  la réalisation et l'intégration de fonctionnalités sur les produits du patrimoine PMU (applications desktop et mobile)*Garant du maintien en condition opérationnelle.Compétences techniques:- Java   Spring Boot * React JS- Gitlab  Maven * API Rest  Swagger * AWS * Kafka""
67,Développeur C# / DevOps,""En tant que Développeur C#  vos missions seront :- Développer et ajouter des nouvelles fonctionnalités en C#- Migrer sur une nouvelle méthode de calcul appelée SMART- Participer à  l'ajout et l'automatisation des nouvelles sources de données- Relever les challenges techniques suivants : optimisation de la performance.Vous aurez ainsi l'opportunité d'évoluer dans un environnement agile (sprint de 3 semaines) et à  taille humaine (équipe de 8 personnes  experts C#) oà¹ la technique  les bonnes pratiques de code (code review  tests  documentation) et l'optimisation de la performance sont au centre de l'activité. Stack techno : Back end : C# 6  migration sur la version 7.Environnement : Visual Studio 2017.Migration sur Microsoft Azure.Logiciel d'intégration continue : Jenkins.Micro-services.Base de données : Elastic Search et MongoDB""
68,Ingénieur DevOps,""Vous travaillez dans un environnement DevOps de CI/CD :- Vous accompagnez les équipes projet dans la mise en place des outils d'industrialisation et de deploiement  en respectant les contraintes du projet  de sécurité et d'exploitation- Vous installez  configurez  automatisez  administrez et maintenez les plateformes DevOps- Vous assurez la disponibilité  la sécurité et la supervision des infrastructures- Vous définissez les playbook d'automatisation  de configuration et d'intégration.Selon vos envies et désirs d'apprentissage  selon les besoins de nos clients  ces missions sont évolutives.Environnement technique :- OpenSource  intégration continue GitLab  Nexus  Jenkins  Puppet- Automatisation : Ansible  Ansible Tower  Terraform- Conteneurisation : Docker  Kubernetes  OpenShift""
69,Administrateur Bases de Données DevOps,""L'activité se compose comme suit : Référent bases de données sur MySQL et PostgreSQL.Définition des normes et hardening:Gestion des nouveaux produits (BDD  outils).Analyse des performances.Gestion et suivi du parc  de son cycle de vie et des accà¨s utilisateurs au sein de l'équipe DevOps ;Gestion des incidents N3 ;Administration des systà¨mes Linux  Docker et orchestrateurs Kubernetes ;Automatisation des tà¢ches via Terraform  Ansible ;Gestion des logs  des backups et du monitoring""
70,Ingénieur réseau et sécurité,""Conà§oit et met en Å“uvre des infrastructures réseaux et sécurité.Développe et met en Å“uvre de manià¨re autonome des stratégies de solution pour la résolution des problà¨mes.Est en charge de la rédaction de manuels d'administration et d'exploitation pour les environnements réseaux / sécurité complexes selon les normes de l'entreprise.Assure en toute autonomie la planification d'environnements réseaux / sécurité complexes.Apporte des services de conseil aux clients dans le cadre de projets ou de l'environnement opérationnel.Dépannage  support de 2e/3e niveau.Est en charge du transfert de compétences vers les clients et  dans ce cadre  est amené à  concevoir des contenus et supports de formation spécifiques.Evalue de manià¨re fiable l'effort et la faisabilité des solutions techniques.Prépare des descriptions de services  y compris des estimations de coà»ts dans le cadre de procédures d'appels d'offres.Remonte à  sa hiérarchie les éventuelles pistes de foisonnement commercial et d'amélioration de services identifiées.Equipe - Gestion de changements.Planifie et prend en charge la gestion technique de projets complexes et la gestion des équipes dans des environnements opérationnels complexes.Est garant de la bonne mise en Å“uvre des solutions techniques proposées aux clients""
71,Ingénieur sécurité,""Afin de renforcer ses équipes  ABBANA recrute un ingénieur sécurité H/F.En cette qualité vous interviendrez sur des missions variées et représentant pour chacune d'elles  un véritable défi.Dédié à  un pool de clients ABBANA (grands comptes  banques  PME)  vous aurez pour missions principales :La réalisation d'audits de sécurité et d'infrastructure ;L'exploitation/maintien en condition opérationnelle d'infrastructures réseau (ouverture de flux  debug de flux  mise à  jour Firmware) ;L'exploitation d'équipements réseaux en Datacenter (BGP  fibre noire  Transit IP  etc€¦) ;Le deploiement de projets de sécurisation des réseaux :Intégration/Migration de Firewall  VPNSSL  Switch  Routeur  Wifi ;Intégration/Migration d'Antivirus EDR ;Intégration de proxy et Load Balancer ;Mise en place de projets de sécurisation d'infrastructure systà¨mes :Etablissement de tunnel VPN ;Mise en place d'authentifications fortes ;La mise en place de PRA ;La réalisation de Documents d'Architectures Techniques.""
72,Consultant junior - Architecte sécurité,""Caractériser le contexte fonctionnel et technique pour définir les exigences sécurité auxquelles le systà¨me informatique doit répondre.Contribuer aux analyses de risques notamment à  ceux induits par l'introduction de nouvelles technologies.Proposer et évaluer les architectures et solutions de sécurité nécessaires pour la sécurité du systà¨me.Vérifier que les choix techniques et technologiques des projets respectent les exigences de sécurité de l'entreprise.Accompagner le deploiement et la mise en Å“uvre des solutions de sécurité pour s'assurer qu'elles atteignent les objectifs de sécurité visés.Revoir régulià¨rement l'architecture existante  identifier les écarts et faire des recommandations d'amélioration de la sécurité""
73,Ingénieur cyber sécurité systeme,""Les nouveaux enjeux et l'augmentation de la connectivité des systà¨mes avioniques civils et militaires font émerger de nouvelles exigences réglementaires de Cyber-Sécurité.De nouvelles activités sont alors à  effectuer pour toutes nos solutions (existantes et futures) pour maà®triser la Cyber-Sécurité.Dans ce cadre  vous intégrez la discipline Cyber-Sécurité de l'ingénierie des systà¨mesavioniques et représentez un maillon essentiel"" dans la réussite de nos projets  dans la transformation de nos pratiques et de nos modes de fonctionnement.En tant qu'Ingénieur Cyber Sécurité Systà¨me  vous serez responsable de :Mettre en Å“uvre et éprouver les éléments de sécurité applicables aux produits/systà¨mes/solutions/services depuis leur conception jusqu'  leur mise en opération.Participer aux solutions de sécurité pour les projets innovants dans le domaine des aéronefs du futur et des nouvelles fonctions de gestion du vol pour des opérations plus éco-responsables.Coordonner et accompagner les équipes d'ingénierie dans le deploiement des activités Cyber-Sécurité dans les produits (Analyse de risque  architecture de sécurité  Spécification de contre-mesure cyber  Analyse de vulnérabilités  Audit des produits et audit des opérations  Pilotage de tests d'intrusion).""
74,SEO Manager,""Elaboration et exécution de stratégies SEO efficaces pour améliorer la visibilité et la notoriété de la marque.Optimisation des pages existantes pour améliorer leur classement dans les résultats de recherche organiques.Recherche et analyse des mots-clés pertinents pour améliorer le trafic et la conversion du site Web.Analyse et optimisation de la structure du site Web pour améliorer l'expérience utilisateur et le référencement naturel.Elaboration de recommandations pour l'amélioration du contenu et des médias sociaux pour renforcer l'autorité de domaine.Suivi et analyse des indicateurs clés de performance du SEO et production de rapports réguliers sur les tendances et les résultats du SEO.Gestion des relations avec les partenaires et les prestataires externes pour soutenir les activités de référencement naturel.Formation et encadrement des membres de l'équipe sur les meilleures pratiques du SEO et l'utilisation des outils d'analyse de recherche.""
75,Assistant(e) Ressources Humaines,""Dans le cadre d'un remplacement  la Direction des Ressources Humaines  Qualité et Communication Interne renforce son service RH et recrute un(e) Assistant(e) Ressources Humaines en CDI.Rattaché(e) à  la Responsable des Ressources Humaines  vous interviendrez sur les missions suivantes :Suivi du temps de travail et gestion des absences.Préparation des éléments de paie (éléments variables  IJSS  absences €¦).Rédaction des contrats de travail et avenants.Suivi administratif du personnel et déclarations aux organismes sociaux (Validation d'embauche  DPAE  Retour des contrats  Organisation des visites médicales  vie du contrat de travail  €¦).Gestion des sorties du personnel.Au sein d'une équipe dynamique  vous pourrez participer à  différents projets RH et apporter vos idées en matià¨re d'amélioration continue.""
76,Assistant(e) RH généraliste,""Gestion Administrative:Support sur toute l'administration du personnel (onboarding  visite médicale  mutuelle  congés  fiches de paie  etc.).Traitement des données de facturation (en collaboration avec notre RAF en interne et notre expert comptable externe).Participation aux recrutements stagiaires.Recrutement:Tu seras amené(e) à  prendre en main de recrutement de A à  Z.Tu seras en charge d'onboarder et de suivre tes nouvelles recrues tout le long de leur vie chez The Sanctuary Group.Hapiness Manager:Gestion des ressources du bureau (consommables  matériel €¦).Organisation d'événements de team building.Gestion de la communication interne ""
77,CHARGE DE DEVELOPPEMENT RH,""Missions :Rattaché(e) à  la Directrice des Ressources Humaines  vous travaillerez dans une équipe de 3 personnes  oà¹ vous participerez activement à  la mise en Å“uvre de la politique sociale en vous adaptant aux besoins opérationnels des différentes sociétés et aux orientations stratégiques du groupe.Vos missions seront notamment :Recrutement :Définir les profils recherchés avec les responsables opérationnels et mettre en Å“uvre la stratégie de sourcing la plus adaptée (approche directe sur les réseaux sociaux  sites d'annonces  cooptation€¦) ;Accompagner les Managers tout au long du processus de recrutement jusqu'à  la prise de décision ;Assurer et suivre l'intégration des nouveaux embauchés en partenariat avec les managers ;Contribuer au maintien de la politique emploi et rémunération  et à  l'égalité entre les femmes et les hommes.Formation :Participer à  la définition des plans de formation annuels des sociétés du groupe  en relation avec les managers opérationnels et en accord avec les besoins stratégiques du groupe ;Mettre en Å“uvre les plans de formation dans le respect des budgets ;Assurer le suivi des formations (présence  qualité de la formation  facturation  reporting de l'activité).""
78,Ingénieur Cloud,""vous intégrez la division Infrastructure Cloud Services.Au sein d'une équipe dynamique  agile et à  taille humaine  vous évoluez dans un environnement technique riche et stimulant.Nous vous proposons des missions variées aux défis ambitieux dans des secteurs d'activité stimulants et multiculturels : énergie  industrie  automobile  transport  banque  services publics nationaux€¦Intégrez une entreprise oà¹ rà¨gnent un esprit entrepreneurial fort et une atmosphà¨re propice à  votre évolution. Participez à  une transformation digitale durable au cÅ“ur d'une aventure humaine au sein d'un grand groupe international.Dans un environnement de production à  haute disponibilité  vos missions principales sont les suivantes :- Vous auditez et analysez les infrastructures clients déployées dans le Cloud public (AWS  Aure  GCP €¦) ou dans un Cloud privé (OpenStack ...)- Vous construisez  déployez et veillez au bon fonctionnement des infrastructures ainsi que des solutions applicatives dans des environnements de type Cloud- Vous développez  via l'Infrastructure as Code  des fondamentaux réseaux et systà¨mes ainsi que des services Cloud Public- Vous automatisez du provisioning des environnements via des outils de deploiement continu- Vous mettez en place des outils de monitoring adaptés à  l'environnement""
79,Architecte logiciel cloud,""Les offres de Lectra évoluent en permanence vers des solutions connectées et s'appuient sur la puissance du cloud pour en tirer des performances optimisées.En tant que Principal Architect  vous serez en étroite collaboration avec les équipes Marketing produit  Customer success et R&D Software dans la conception de nos solutions cloud et desktop.Vous àªtes responsable du design et de l'architecture des solutions Lectra sur la gamme design/CAO et de guider les équipes de R&D agiles tout au long du développement conformément à  la vision et aux directives technologiques.Missions:Concevoir l'architecture globale de la solution technique pour répondre aux besoins formulés par le Product Owner  en collaboration avec le Principal Architect Accompagner les équipes agiles lors du développement produit pour leur permettre de faire des choix techniques en fonction des guidelines Lectra et de la trajectoire technologique Assurer la cohérence technique entre les équipes Diffuser les meilleures pratiques d'ingénierie  y compris CI/CD  DevOps  TDD  DDD  processus Agile et Git.""
80,Développeur Machine Learning,""Les besoins actuels en développement ML chez Sancare sont multiples et variés  incluant :Adaptation de l'architecture globale de la base de code ML à  l'émergence de nouveaux projets.Amélioration de la robustesse/stabilité du code.Adaptation de la base de code ML à  l'apprentissage fédéré  notamment le développement de features adaptées au contexte multi-site.Développements liés au test de nouveaux modà¨les dans notre contexte particulier.Mise en place de l'outillage facilitant l'expérimentation.Amélioration de l'environnement de test (meilleures fausses données  couverture des tests  reproductibilité).Le développeur ML participera activement à  des projets sur ces thématique""
81,Ingénieur machine learning,""En fonction des orientations stratégiques et accompagné(e) des data scientists de l'équipe  vous participez à  la réalisation de projets long terme et la réalisation de Preuve de Concept (PoC). Vous assurerez la transition de ces travaux vers les plateaux de développement.A ce titre  vos missions seront les suivantes :Mettre à  disposition les données : Participer aux réflexions pour la collecte et la pérennisation des données. Faciliter leur exploitation au sein de l'équipe Data Science.Développer les modà¨les : Avec l'aide de data scientist  développer les modà¨les mathématiques les plus pertinents et adaptés à  chaque problématique et réaliser leur apprentissage.Déployer les modà¨les : Collaborer avec les équipes de Data Ingénierie au deploiement des modà¨les entrainés en production et accompagner les équipes de développement produit dans leur utilisation.Permettre le suivi des performances des modà¨les : Mettre en place les outils permettant d'assurer la mesure de la performance et le suivi de la dérive des modà¨les en production.Animer et partager les connaissances : Participer à  la communauté Data Lectra  animer des sessions de partage interne ou externe. Communiquer les bonnes pratiques au sein de l'équipe.Mener la veille scientifique et technique : Réaliser une veille sur les publications scientifiques  rechercher et intégrer les techniques nouvelles et les outils existants les plus adaptés aux besoins et à  la résolution des problà¨mes mathématiques.Compétences requises€¢ Langage Python et éventuellement d'autres langages orientés objet €¢ Connaissances fortes en pipelines de traitement de données€¢ Outil de gestion de version et de conteneurisation (Git  Docker  Kubernetes)€¢ Environnement Cloud (Azure et AzureML trà¨s souhaitable) et Big Data (Kafka  RabbitMQ)€¢ Outil de dashboarding et de suivi d'expérimentation (MLflow  Grafana  Kibana  PowerBi  d3.js  Seaborn)""
82,ASSISTANT DE GESTION ET COMPTABILITE,""Dans ce cadre  vos principales missions seront :Recouvrement : gestion d'un portefeuille clients (suivi des relances  blocages et mise en contentieux auprà¨s de notre assurance-crédit)  reporting hebdomadaire et mise à  jour des données clients.Saisie des rà¨glements client : mise à  jour quotidienne des relevés bancaires dans notre ERP et remises de chà¨ques.Aide à  la gestion de la boite mail compta (Envoie duplicata de factures  RIB  émargés de livraison) Lettrage clients Archivage des documents comptables et numérisation des contrats Réception et redistribution du courrier Assurer le standard téléphonique du service Compta / Gestion et traiter les demandes si possibles""
83,Comptable Gestion,""Assurer la comptabilité mandants d'un portefeuille de biens gérés :Comptabilité de gérance : compte-rendu propriétaire  encaissements loyers  quittancements  assurances loyers impayés  régularisations diverses  traitement des honoraires.Comptabilité générale : rapprochements bancaires  régularisation de charges locatives  appels syndic  factures fournisseurs.Comptabilité fiscale : aide à  la déclaration des revenus fonciers et BIC.Vous àªtes en charge de la gestion comptable des biens que nous louons avec l'équipe en place et vous participez à  la structuration du service de gestion de Homepilot avec pour objectif d'améliorer continuellement l'expérience clients : process  partenaires  développement des outils  automatisations€¦""
84,Business Intelligence - Power BI,""Automate Lors de cette alternance vous participerez activement à  l'analyse des données de l'entreprise et de son marché  au développement d'applications en interne  à  l'automatisation des processus du cabinet et à  la montée en compétences des équipes de consultants les thématiques liées au digital et aux outils.Vos missions seront les suivantes :1. Data Engineering/Data Analyse :Idéation et conception de rapports Power BI en alignement avec la stratégie de l'entreprise (développement commercial  communication  suivi des compétences  etc.).Retraitement de données et mise en qualité : harmonisation  nettoyage et transformation.Automatisation de la récupération de données : développement de liens directs entre les sources de données et les reporting.Data-Analyse : analyse critique des reportings existants dans une logique d'amélioration continue (pertinence des indicateurs  utilisation des données restituées à  des fins stratégiques)2. Développement low-code :Développement d'applications internes basées sur des cas d'usage concrets.Proposition d'outils et/ou de développements permettant l'optimisation et/ou l'automatisation des process internes de l'entreprise.Etude des opportunités d'approche technologique des missions réalisées et développement d'exemples d'utilisation de low-code dans les missions de conseil3. Digitalisation et automatisation :Etude des processus internes et des opportunités d'automatisation (via power automate par exemple).Développements dans le cadre de la digitalisation des tà¢ches manuelles récurrentes identifiées par les différentes responsables d'activités au sein du cabinet.Identification des opportunités outils : identification d'outils utiles  veille sur les mises à  jour des outils déjà  à  disposition.""
85,Développeur(se) Full Stack JS (React/Node),""En tant que développeur(se) full stack  ton quotidien sera de travailler sur le produit de l'un de nos clients  en lien avec l'équipe produit  pour fournir la meilleure expérience à  l'utilisateur final.Tu seras amené(e) à  :Livrer du code de qualité qui implémente les besoins métier.S'assurer du bon fonctionnement de ton application en production.Tenir le périmà¨tre du projet.Ecrire des tests unitaires  d'intégration et fonctionnels.Déployer de manià¨re autonome.Ecrire du code pour une compréhension business plutà´t que technique.Donner de la vision et accompagner les choix techniques et architecturaux de l'équipe.Participer à  la montée en compétence de l'équipe : partager les bonnes pratiques et retours d'expériences  faire du feedback et du code review..Faire ce qui est bien pour le produit en challengeant les idées des porteurs de projets.àŠtre intéressé(e) par le développement mobile hybride.Profil recherché.Tes skills !Framework et Librairies Javascript : React  Nodejs  Typescript  Webpack€¦Avoir travaillé sur des APIs""
